ชื่อสินค้า,ราคาขาย,ต้นทุน,หมวดหมู่,สต๊อก,บาร์โค้ด
วิกซอล ไวท์,30,25,น้ำยาล้างห้องน้ำ,50,8850092010065
วิกซอล พิ้งค์ 450มล.,30,27,น้ำยาล้างห้องน้ำ,100,8850092012069
วิกซอล900มล,35,30,น้ำยาล้างห้องน้ำ,50,8850092012205
วิกซอล,30,27,น้ำยาล้างห้องน้ำ,100,8850092016111
วิช800มล,55,50,น้ำยาล้างห้องน้ำ,50,8850092102319
มิตเตอร์มัสเซิล,40,35,น้ำยาล้างห้องน้ำ,-1,8850175005476
เป็ด450มล,35,25,น้ำยาล้างห้องน้ำ,50,8850175030188
เป็ด กลิ่น ซิตรัส 450มล.,35,28,น้ำยาล้างห้องน้ำ,119,8850175030249
เป็ด450มล.,35,30,น้ำยาล้างห้องน้ำ,100,8850175030300
เป็ดสีชมพู,35,30,น้ำยาล้างห้องน้ำ,10,8850175040378
เป็ดสีเหลือง,35,30,น้ำยาล้างห้องน้ำ,100,8850175040583
เป็ดโปร450มล.,39,35,น้ำยาล้างห้องน้ำ,83,8850175046042
เป็ดโปร900มล,59,55,น้ำยาล้างห้องน้ำ,4,8850175046066
เป็ด300มล,29,26,น้ำยาล้างห้องน้ำ,45,8850175046097
เป็ดโปรมิสเตอร์,35,30,น้ำยาล้างห้องน้ำ,10,8850175046141
เชนไดร้ท์ ลาเวนเดอร์ โรส 300มล.,50,47,น้ำยาล้างห้องน้ำ,118,8851495013165
ทีโพล์ โปร คลีน ดันฝุ่น 500มล.,95,89,น้ำยาล้างห้องน้ำ,3,8851495016661
ทีโพล์ โปรคลีน ดักฝุ่น 1000มล.,120,94,น้ำยาล้างห้องน้ำ,120,8851495016678
ยูนิป๊อป400มล,25,20,น้ำยาล้างห้องน้ำ,50,8851566091207
ยูนิป๊อป 450มล,10,8,น้ำยาล้างห้องน้ำ,50,8851566091351
มาจิคลีนเบอรี่500มล.,45,40,น้ำยาล้างห้องน้ำ,19,8851818082724
มาจิกคลีนลาเวนเดอร์400มล.,25,20,น้ำยาล้างห้องน้ำ,17,8851818085749
มาจิกคลีนลิลลี่400มล.,25,20,น้ำยาล้างห้องน้ำ,21,8851818085756
มาจิกคลีน เบอร์รี่ อโรมา 750มล.,45,34,น้ำยาล้างห้องน้ำ,120,8851818183704
มาจิคลีน,45,40,น้ำยาล้างห้องน้ำ,100,8851818227514
มาจิคลีน600มล,45,35,น้ำยาล้างห้องน้ำ,50,8851818227538
มาจิคลีน750มล,50,45,น้ำยาล้างห้องน้ำ,50,8851818227545
มาจิคลีน600มล,45,35,น้ำยาล้างห้องน้ำ,50,8851818227552
มาจิกคลีน850มล.,55,50,น้ำยาล้างห้องน้ำ,20,8851818543249
มาจิกคลีนลิลี่500มล.,45,40,น้ำยาล้างห้องน้ำ,28,8851818639003
มาจิคลีน500มล.,45,40,น้ำยาล้างห้องน้ำ,28,8851818639102
มาจิกกลีน425มล.,30,25,น้ำยาล้างห้องน้ำ,29,8851818645202
มาจิคลีน425มล,30,25,น้ำยาล้างห้องน้ำ,50,8851818645400
มาจิคลีน400มล,25,20,น้ำยาล้างห้องน้ำ,52,8851818777163
มาจิกคลีน ลิลลี่ บูเก้ 750มล.,45,34,น้ำยาล้างห้องน้ำ,119,8851818860605
มาจิคลีน800มล,55,50,น้ำยาล้างห้องน้ำ,50,8851818861503
เพนกวินไซโคลน,45,40,น้ำยาล้างห้องน้ำ,20,8858786242129
โรแมกซ์,45,40,น้ำยาล้างห้องน้ำ,20,8934868052753
