ชื่อสินค้า,ราคาขาย,ต้นทุน,หมวดหมู่,สต๊อก,บาร์โค้ด
เคลี่เฟรช ไวท์ 150ก.,65,63,ผ้าอนามัย,100,8850273226711
เดลี่เฟรช ไวท์ 150ก.,65,63,ผ้าอนามัย,100,8850273226902
โซฝีถนอมผิว,29,25,ผ้าอนามัย,0,8851111132010f
โซฟี ถนอมผิว สลิม 5ชิ้น,26,22,ผ้าอนามัย,120,8851111138012
โซฟิซูเปอร์แอ็กทิฟสลิม 23ซม. 5ชิ้น,19,15,ผ้าอนามัย,100,8851111145409
โซฟี คูลลิ่ง เฟรช เนเชอรัล 23ซม.,20,16,ผ้าอนามัย,120,8851111153176
โซฟี คูล เเตงกวา 25Cm.,22,18,ผ้าอนามัย,6,8851111158010
โซฟี เเบบกระชับ 35cm.,25,21,ผ้าอนามัย,9,8851111162260
โซฟี ชาร์โคล เฟรช 23Cm.,16,14,ผ้าอนามัย,5,8851111199013
โซฟิคอมฟอร์เฟรช 20ชิ้น,25,20,ผ้าอนามัย,100,8851111201075
ซาร่า,14,7,ผ้าอนามัย,99,8851473001443
ลอรีเอะ S&S ลาเวนเดอร์ 30cm.,26,21,ผ้าอนามัย,5,8851818056459
ลอรีเอะ S&S สลิมคูล 22cm.,18,14,ผ้าอนามัย,17,8851818100756
ลอรีเอะ S&S สลิม 5P,10,8,ผ้าอนามัย,17,8851818191747
ลอรีเอะ S&S เเมกซี่ 5P,12,10,ผ้าอนามัย,19,8851818191815
ลอรีเอะ เดลี่ คลีน 20P,25,21,ผ้าอนามัย,3,8851818544345
ลอรีเอะ เดลี่ พิงค์ซากุระ 20P,25,21,ผ้าอนามัย,3,8851818544413
ลอรีเอะ ดิโอเดอเเรนท์ 18P,25,21,ผ้าอนามัย,4,8851818544604
เอลิสกลางวัน,25,20,ผ้าอนามัย,0,8858947831049
เอลิสสมูร&ดราย 25ซม.5ชิ้น,19,15,ผ้าอนามัย,100,8858947831575
ลอรีเอะ S&S 35 ซม.,26,20,ผ้าอนามัย,-5,8992727004145
โซฝีชารืดคล,18,15,ผ้าอนามัย,0,คคถๅๅๅๅๅตคจ-จ
